path,class,attributes,caption,instance_id
Images/Dataset_jk/Clothing_wrist_watch_A_001.jpg,Clothing_wrist_watch,color:black;material:metal;condition:used;size:medium,Black wristwatch with chronograph display,Team2_Clothing_wrist_watch_A_001
Images/Dataset_jk/Clothing_wrist_watch_A_002.jpg,Clothing_wrist_watch,color:black;material:metal;condition:used;size:medium,Black wristwatch,Team2_Clothing_wrist_watch_A_002
Images/Dataset_jk/Clothing_wrist_watch_A_003.jpg,Clothing_wrist_watch,color:black;material:metal;condition:used;size:medium,Black wristwatch with metal band,Team2_Clothing_wrist_watch_A_003
Images/Dataset_jk/Clothing_wrist_watch_A_004.jpg,Clothing_wrist_watch,color:black;material:metal;condition:used;size:medium,Black wristwatch laying on surface,Team2_Clothing_wrist_watch_A_004
Images/Dataset_jk/Clothing_wrist_watch_A_005.jpg,Clothing_wrist_watch,color:black;material:metal;condition:used;size:medium,Black wristwatch on surface,Team2_Clothing_wrist_watch_A_005
Images/Dataset_jk/Clothing_wrist_watch_A_006.jpg,Clothing_wrist_watch,color:black;material:metal;condition:used;size:medium,Black chronograph wristwatch on table,Team2_Clothing_wrist_watch_A_006
Images/Dataset_jk/Clothing_wrist_watch_B_001.jpg,Clothing_wrist_watch,color:black;material:plastic;condition:used;size:medium,Black digital wristwatch close-up view,Team2_Clothing_wrist_watch_B_001
Images/Dataset_jk/Clothing_wrist_watch_B_002.jpg,Clothing_wrist_watch,color:black;material:plastic;condition:used;size:medium,Black G-Shock digital wristwatch,Team2_Clothing_wrist_watch_B_002
Images/Dataset_jk/Clothing_wrist_watch_B_003.jpg,Clothing_wrist_watch,color:black;material:plastic;condition:used;size:medium,Black digital wristwatch,Team2_Clothing_wrist_watch_B_003
Images/Dataset_jk/Clothing_wrist_watch_B_004.jpg,Clothing_wrist_watch,color:black;material:plastic;condition:used;size:medium,Black digital wristwatch on surface,Team2_Clothing_wrist_watch_B_004
Images/Dataset_jk/Clothing_wrist_watch_B_005.jpg,Clothing_wrist_watch,color:black;material:plastic;condition:used;size:medium,Black digital wristwatch lying down,Team2_Clothing_wrist_watch_B_005
Images/Dataset_jk/Clothing_wrist_watch_C_001.jpg,Clothing_wrist_watch,color:silver;material:metal;condition:used;size:medium,Large wristwatch with red accents,Team2_Clothing_wrist_watch_C_001
Images/Dataset_jk/Clothing_wrist_watch_C_002.jpg,Clothing_wrist_watch,color:silver;material:metal;condition:used;size:medium,Silver watch with dark face,Team2_Clothing_wrist_watch_C_002
Images/Dataset_jk/Clothing_wrist_watch_C_003.jpg,Clothing_wrist_watch,color:silver;material:metal;condition:used;size:medium,Silver watch on surface object,Team2_Clothing_wrist_watch_C_003
Images/Dataset_jk/Clothing_wrist_watch_C_004.jpg,Clothing_wrist_watch,color:silver;material:metal;condition:used;size:medium,Silver wristwatch with dark face,Team2_Clothing_wrist_watch_C_004
Images/Dataset_jk/Clothing_wrist_watch_C_005.jpg,Clothing_wrist_watch,color:silver;material:metal;condition:used;size:medium,Silver wristwatch with red accents,Team2_Clothing_wrist_watch_C_005
Images/Dataset_jk/Clothing_wrist_watch_D_001.jpg,Clothing_wrist_watch,color:black;material:metal;condition:used;size:medium,Black wristwatch with pearl face,Team2_Clothing_wrist_watch_D_001
Images/Dataset_jk/Clothing_wrist_watch_D_002.jpg,Clothing_wrist_watch,color:black;material:metal;condition:used;size:medium,Black wristwatch with pearl face,Team2_Clothing_wrist_watch_D_002
Images/Dataset_jk/Clothing_wrist_watch_D_003.jpg,Clothing_wrist_watch,color:black;material:metal;condition:used;size:medium,Black wristwatch with pearl face,Team2_Clothing_wrist_watch_D_003
Images/Dataset_jk/Clothing_wrist_watch_D_004.jpg,Clothing_wrist_watch,color:black;material:metal;condition:used;size:medium,Simple wristwatch with leather strap,Team2_Clothing_wrist_watch_D_004
